Energy,Spin
0.0,3.0508319359221354
0.15587160188020147,3.058408175196054
0.15589956018229884,3.058408227252952
1.3382777096133325,3.0428802472632297
1.339655212353658,3.042859652903002
1.5234821634378668,4.569923070202957
1.7319787867095682,3.293679785852978
1.7394208148354244,3.0547255695811266
1.815515679444231,3.3230066263787545
1.8422042148934639,3.0665481081211103
1.8444565532695438,3.066912621413331
1.8845713964073803,3.260682735969999
1.9931314569145309,3.3379208621032843
1.9932742444277487,3.3376889221489963
2.0689730200861445,3.397091409297126
2.108056980594592,3.4741134660493116
2.110063736798158,3.465498252128283
2.1223297737126425,3.152103275289233
2.122467522946116,3.158355196343132
2.166479190775355,3.112385914250681
2.1667435941126465,3.11397190846432
2.2061131331583828,3.4444670340733516
2.27089561256056,3.643259088007944
2.270965409979615,3.6432827655798494
2.406694069763715,3.0809416277453145
2.5718110497712128,3.9437150032244994
2.571923293785988,3.9437310412696385
2.6302146667788104,3.082313029623911
2.6302846529968362,3.0821244997979464
2.7100051630033066,3.728097251576249
2.7100370949784787,3.7280742800283866
2.713103911253467,3.244593273063356
2.7207616215497494,3.2447132365239275
2.7207640243186226,3.2447659763384427
2.7283935548916562,3.2448013240880336
2.776784224840127,3.6052171435533276
2.7768397826136098,3.6052442077539077
2.781585732760217,3.467057282557971
2.7817519594548883,3.4668952712605146
2.7838350671706404,3.4671828758416194
2.784413869853858,3.466307423195832
2.8105953209059718,3.5956430046921564
2.877712893172766,4.274837356415756
2.881585681117506,3.5798178269953933
2.8888351918350588,3.567664768491864
2.88884242752821,3.5676698178700423
2.8962461612765638,3.5686067253168483
2.940006526786147,3.5208929162708436
2.9402587145756707,3.52080192307353
3.17525469334576,3.129788183392114
