Energy,Spin
0.0,3.062565369919563
0.0559788176277217,3.065141820209621
0.08964524161483585,3.0654796325439424
1.3726479027407146,3.089197497738048
1.374800521321432,3.082577506167018
1.5532205129701213,3.0791981662701744
1.609547077151336,4.2171079722296865
1.6109733429383442,4.132385968862901
1.8369125656486882,3.101628470684726
1.926724257024809,3.2669138573274368
1.964155123899152,3.1909683328820724
2.1238524748380665,3.0375687163163745
2.131779382126476,3.9523642671509713
2.188761716253404,3.3373075361784146
2.211197120249185,3.3149867262806656
2.324619501015214,3.4406002080642435
2.3434669735035265,3.384914827701796
2.4429950215696445,3.3940643516372377
2.660436330948323,3.447546238722754
2.7139775006722613,3.0423401310651625
2.962754719571731,4.39145801501297
3.2113375246287874,3.0843632128838068
3.253093022979182,3.0697718767182693
3.2662923748469774,3.201581972366752
3.3145738505713696,3.165955543032646
3.3681617952661824,3.6364779117975394
3.403964578500071,3.367543292292997
3.4389848388155744,3.765329733113331
3.518621287211707,3.8931802480840223
3.5809107515291747,3.401306192717426
3.6753825052059623,3.534663177029981
3.7113310575141205,3.90118701675033
3.730013194248699,3.79917816422562
3.7445367072988978,3.0704425060405893
3.7462151398999666,3.064509011635884
3.8564989799981944,3.5154618030478253
3.864152523396351,3.465740728278546
3.8919353069138873,3.049039751608052
3.964917710123112,3.774475291875262
3.997694621379697,3.293658798865067
4.018991644995634,3.662411475832548
4.027356982504495,3.650816585853584
4.062396068970158,3.1327445965016296
4.065661008727775,3.0650359243169163
4.073347730651204,3.4862378593146026
4.139335988461417,3.5423020430271666
4.168386814627174,3.3450637995186874
4.185165263807423,3.316155826970773
4.216574469096599,3.4279657437640942
4.290810412472767,3.1907074603852643
